Question,Options,OptionsWithCorrect,CorrectOptions,Tags
"[Cybersecurity] <span style=""display:none;"">QID:MC-006</span> Which are types of vulnerabilities in a supply chain? (CHOOSE THREE)","<li>A. Service provider</li><li>B. Distributor</li><li>C. Hardware provider</li><li>D. Customer</li><li>E. Internal IT staff</li><li>F. Software provider</li><li>G. Third-party auditor</li>","<li class=""correct"">A. Service provider</li><li>B. Distributor</li><li class=""correct"">C. Hardware provider</li><li>D. Customer</li><li>E. Internal IT staff</li><li class=""correct"">F. Software provider</li><li>G. Third-party auditor</li>","A, C, F<hr>Why correct: Service provider, hardware provider, and software provider are external entities in a supply chain that can introduce vulnerabilities due to potential weaknesses, per Section 2.3 and CompTIA SY0-701 objective 2.3.<br>Why incorrect: B (distributor) handles logistics but is not listed as a vulnerability; D (customer) is the end recipient, not a vulnerability source; E (internal IT staff) is internal, not supply chain; G (third-party auditor) verifies compliance, not a vulnerability.<br>Rationale: Tests recall of supply chain vulnerability types with plausible supply chain-related distractors to challenge differentiation.<br>Metadata: Multiple-correct<br>Source: Section::2.3","Section::2.3 cybersecurity supply-chain vulnerabilities multiple-choice instance-1 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-006</span> Which are types of vulnerabilities in a supply chain? (CHOOSE THREE)","<li>A. Distributor</li><li>B. Software provider</li><li>C. Customer</li><li>D. Service provider</li><li>E. Third-party auditor</li><li>F. Internal IT staff</li><li>G. Hardware provider</li>","<li>A. Distributor</li><li class=""correct"">B. Software provider</li><li>C. Customer</li><li class=""correct"">D. Service provider</li><li>E. Third-party auditor</li><li>F. Internal IT staff</li><li class=""correct"">G. Hardware provider</li>","B, D, G<hr>Why correct: Software provider, service provider, and hardware provider are supply chain vulnerabilities due to external entity weaknesses, per Section 2.3 and CompTIA SY0-701 objective 2.3.<br>Why incorrect: A (distributor) manages logistics; C (customer) is the end user; E (third-party auditor) ensures compliance; F (internal IT staff) is not supply chain-related.<br>Rationale: Tests recall with varied supply chain distractors for differentiation.<br>Metadata: Multiple-correct<br>Source: Section::2.3","Section::2.3 cybersecurity supply-chain vulnerabilities multiple-choice instance-2 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-006</span> Which are types of vulnerabilities in a supply chain? (CHOOSE THREE)","<li>A. Third-party auditor</li><li>B. Customer</li><li>C. Hardware provider</li><li>D. Internal IT staff</li><li>E. Service provider</li><li>F. Software provider</li><li>G. Distributor</li>","<li>A. Third-party auditor</li><li>B. Customer</li><li class=""correct"">C. Hardware provider</li><li>D. Internal IT staff</li><li class=""correct"">E. Service provider</li><li class=""correct"">F. Software provider</li><li>G. Distributor</li>","C, E, F<hr>Why correct: Hardware provider, service provider, and software provider are supply chain vulnerabilities due to potential external weaknesses, per Section 2.3 and CompTIA SY0-701 objective 2.3.<br>Why incorrect: A (third-party auditor) verifies compliance; B (customer) is the end recipient; D (internal IT staff) is internal, not supply chain; G (distributor) handles logistics.<br>Rationale: Tests recall with distinct supply chain distractors.<br>Metadata: Multiple-correct<br>Source: Section::2.3","Section::2.3 cybersecurity supply-chain vulnerabilities multiple-choice instance-3 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007a</span> Which is a common motivation for nation-state threat actors?","<li>A. Philosophical beliefs</li><li>B. Financial gain</li><li>C. Disruption/chaos</li><li>D. Espionage</li>","<li>A. Philosophical beliefs</li><li>B. Financial gain</li><li>C. Disruption/chaos</li><li class=""correct"">D. Espionage</li>","D<hr>Why correct: Nation-state actors are commonly motivated by espionage to gather intelligence, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: A (philosophical beliefs) motivates hacktivists; B (financial gain) motivates organized crime; C (disruption/chaos) motivates hacktivists or insiders, not typically nation-states.<br>Rationale: Tests recognition of nation-state motivations with distractors from other threat actors’ motivations to challenge differentiation.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity nation-state motivations multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007a</span> Which is a common motivation for nation-state threat actors?","<li>A. Financial gain</li><li>B. Espionage</li><li>C. Revenge</li><li>D. Philosophical beliefs</li>","<li>A. Financial gain</li><li class=""correct"">B. Espionage</li><li>C. Revenge</li><li>D. Philosophical beliefs</li>","B<hr>Why correct: Espionage is a primary motivation for nation-state actors to acquire strategic information, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: A (financial gain) motivates organized crime; C (revenge) motivates insider threats; D (philosophical beliefs) motivates hacktivists, not typically nation-states.<br>Rationale: Tests recognition of nation-state motivations with varied non-target motivations.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity nation-state motivations multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007a</span> Which is a common motivation for nation-state threat actors?","<li>A. Disruption/chaos</li><li>B. War</li><li>C. Espionage</li><li>D. Financial gain</li>","<li>A. Disruption/chaos</li><li>B. War</li><li class=""correct"">C. Espionage</li><li>D. Financial gain</li>","C<hr>Why correct: Espionage drives nation-state actors to gather intelligence, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: A (disruption/chaos) motivates hacktivists; B (war) is a rare nation-state goal, not primary; D (financial gain) motivates organized crime, not typically nation-states.<br>Rationale: Tests recognition with distinct non-target motivations.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity nation-state motivations multiple-choice instance-3"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007b</span> Which is a common motivation for organized crime threat actors?","<li>A. Espionage</li><li>B. Philosophical beliefs</li><li>C. Revenge</li><li>D. Financial gain</li>","<li>A. Espionage</li><li>B. Philosophical beliefs</li><li>C. Revenge</li><li class=""correct"">D. Financial gain</li>","D<hr>Why correct: Organized crime actors are primarily motivated by financial gain through hacking and fraud, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: A (espionage) motivates nation-states; B (philosophical beliefs) motivates hacktivists; C (revenge) motivates insider threats, not organized crime.<br>Rationale: Tests recognition of organized crime motivations with distractors from other threat actors.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity organized-crime motivations multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007b</span> Which is a common motivation for organized crime threat actors?","<li>A. Disruption/chaos</li><li>B. Financial gain</li><li>C. Espionage</li><li>D. The thrill of the hunt</li>","<li>A. Disruption/chaos</li><li class=""correct"">B. Financial gain</li><li>C. Espionage</li><li>D. The thrill of the hunt</li>","B<hr>Why correct: Financial gain drives organized crime to exploit systems for profit, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: A (disruption/chaos) motivates hacktivists; C (espionage) motivates nation-states; D (thrill of the hunt) motivates unskilled attackers, not organized crime.<br>Rationale: Tests recognition with varied non-target motivations.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity organized-crime motivations multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007b</span> Which is a common motivation for organized crime threat actors?","<li>A. Revenge</li><li>B. Philosophical beliefs</li><li>C. Financial gain</li><li>D. War</li>","<li>A. Revenge</li><li>B. Philosophical beliefs</li><li class=""correct"">C. Financial gain</li><li>D. War</li>","C<hr>Why correct: Organized crime is motivated by financial gain through illicit activities, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: A (revenge) motivates insider threats; B (philosophical beliefs) motivates hacktivists; D (war) is a nation-state goal, not typical for organized crime.<br>Rationale: Tests recognition with distinct non-target motivations.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity organized-crime motivations multiple-choice instance-3"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007c</span> Which is a common motivation for hacktivist threat actors?","<li>A. Philosophical/political beliefs</li><li>B. Financial gain</li><li>C. Espionage</li><li>D. Revenge</li>","<li class=""correct"">A. Philosophical/political beliefs</li><li>B. Financial gain</li><li>C. Espionage</li><li>D. Revenge</li>","A<hr>Why correct: Hacktivists are motivated by philosophical or political beliefs to promote social causes, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: B (financial gain) motivates organized crime; C (espionage) motivates nation-states; D (revenge) motivates insider threats, not hacktivists.<br>Rationale: Tests recognition of hacktivist motivations with distractors from other threat actors.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity hacktivist motivations multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007c</span> Which is a common motivation for hacktivist threat actors?","<li>A. Espionage</li><li>B. Philosophical/political beliefs</li><li>C. The thrill of the hunt</li><li>D. Disruption/chaos</li>","<li>A. Espionage</li><li class=""correct"">B. Philosophical/political beliefs</li><li>C. The thrill of the hunt</li><li>D. Disruption/chaos</li>","B<hr>Why correct: Philosophical/political beliefs drive hacktivists to advocate causes, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: A (espionage) motivates nation-states; C (thrill of the hunt) motivates unskilled attackers; D (disruption/chaos) is a hacktivist goal but secondary to beliefs.<br>Rationale: Tests recognition with varied non-target motivations.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity hacktivist motivations multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-007c</span> Which is a common motivation for hacktivist threat actors?","<li>A. Financial gain</li><li>B. Revenge</li><li>C. Philosophical/political beliefs</li><li>D. War</li>","<li>A. Financial gain</li><li>B. Revenge</li><li class=""correct"">C. Philosophical/political beliefs</li><li>D. War</li>","C<hr>Why correct: Hacktivists are driven by philosophical/political beliefs, per Section 2.1 and CompTIA SY0-701 objective 2.1.<br>Why incorrect: A (financial gain) motivates organized crime; B (revenge) motivates insider threats; D (war) motivates nation-states, not hacktivists.<br>Rationale: Tests recognition with distinct non-target motivations.<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity hacktivist motivations multiple-choice instance-3"
