Question,QuestionPlural,Corrects,Distractors,Explanation,Metadata,Tags
Which is a mitigation technique to address vulnerabilities?,Which are mitigation techniques to address vulnerabilities?,Patching||System hardening||Vulnerability scanning,Phishing||Ransomware||Pretexting||Baiting||User training||Encryption||Firewall||Logging,"Patching fixes software vulnerabilities, System hardening strengthens system configurations, and Vulnerability scanning identifies weaknesses to address vulnerabilities, per Section 2.0.||Phishing, Ransomware, Pretexting, and Baiting are types of cyberattacks; User training educates employees on recognizing threats; Encryption secures data; Firewall blocks unauthorized access; Logging records activities, none of which directly address fixing vulnerabilities.",MC-304,Section::2.0 cybersecurity mitigation patching multiple-choice multiple-correct
Which is a mitigation technique to prevent unauthorized access?,Which are mitigation techniques to prevent unauthorized access?,Access Control||Authentication||Authorization,Phishing||Ransomware||Pretexting||Baiting||User training||Patching||Vulnerability scanning||Malware,"Access Control restricts system entry, Authentication verifies user identity, and Authorization grants specific permissions to prevent unauthorized access, per Section 2.0.||Phishing, Ransomware, Pretexting, Baiting, and Malware are types of cyberattacks; User training educates employees on recognizing threats; Patching fixes vulnerabilities; Vulnerability scanning identifies weaknesses, none of which directly prevent unauthorized access.",MC-305,Section::2.0 cybersecurity mitigation access-control multiple-choice multiple-correct
Which term describes a hacker operating with malicious intent?,Which terms describe hackers operating with malicious intent?,Black hat hacker,White hat hacker||Gray hat hacker||Red hat hacker,"A black hat hacker operates with malicious intent, synonymous with an unauthorized hacker per the source text.||White hat hacker performs authorized security testing; Gray hat hacker operates without authorization but not maliciously; Red hat hacker conducts aggressive security testing, not necessarily with malicious intent.",MC-001,Section::2.1 cybersecurity black-hat-hacker multiple-choice
Which is a type of threat actor most likely to have high levels of funding?,Which are types of threat actors most likely to have high levels of funding?,Nation-state||Organized crime||APT,Unskilled attacker||Hacktivist||Insider threat||Shadow IT,"Nation-state actors are supported by government resources, organized crime uses funding for commercial gain, and APTs have high sophistication requiring funding, per Section 2.1 and CompTIA SY0-701 objective 2.1.||Unskilled attacker lacks resources; Hacktivist is ideologically driven; Insider threat is internal without external funding; Shadow IT is a practice, not an actor.",MC-003,Section::2.1 cybersecurity threat-actors funding multiple-choice multiple-correct
Which is a common motivation for organized crime threat actors?,Which are common motivations for organized crime threat actors?,Financial gain||Data theft||Fraud,Disruption/chaos||Espionage||The thrill of the hunt||Revenge||Philosophical beliefs||War,"Financial gain, data theft, and fraud drive organized crime to exploit systems for profit, per Section 2.1 and CompTIA SY0-701 objective 2.1.||Disruption/chaos motivates hacktivists; Espionage motivates nation-states; The thrill of the hunt motivates unskilled attackers; Revenge motivates insider threats; Philosophical beliefs motivates hacktivists; War is a nation-state goal.",MC-007b,Section::2.1 cybersecurity organized-crime motivations multiple-choice multiple-correct
Which is a common motivation for hacktivist threat actors?,Which are common motivations for hacktivist threat actors?,Philosophical/political beliefs||Social change||Activism,Financial gain||Espionage||Revenge||The thrill of the hunt||Disruption/chaos||War,"Philosophical/political beliefs, social change, and activism drive hacktivists to advocate causes, per Section 2.1 and CompTIA SY0-701 objective 2.1.||Financial gain motivates organized crime; Espionage motivates nation-states; Revenge motivates insider threats; The thrill of the hunt motivates unskilled attackers; Disruption/chaos is a hacktivist goal but secondary to beliefs; War motivates nation-states.",MC-007c,Section::2.1 cybersecurity hacktivist motivations multiple-choice multiple-correct
[Cybersecurity] Which technical approach method involves an attacker using a tool to identify open ports or detect active devices on a network?,[Cybersecurity] Which technical approach methods involve an attacker using a tool to identify open ports or detect active devices on a network?,Port scan,Phishing||Password cracking||Pretexting||Spyware,"Port scan identifies open ports to find vulnerabilities, a technical approach method per Section 2.1.5.||Phishing manipulates users for information, a social engineering tactic.||Password cracking guesses credentials, not specific to port or device detection.||Pretexting uses false scenarios, a social engineering tactic.||Spyware monitors user activity, unrelated to network scanning.<hr>Rationale: Tests recognition of port scan as a technical approach method in a scenario, using distractors from non-technical and unrelated technical methods to reinforce differentiation.",Single-correct,,,Section::2.1.5 cybersecurity technical-approach attack-strategy multiple-choice
[Cybersecurity] Which technical approach method involves an attacker sending packets to detect active devices on a network?,[Cybersecurity] Which technical approach methods involve an attacker sending packets to detect active devices on a network?,Ping sweep,Tailgating||SQL injection||Ransomware||Keylogging,"Ping sweep sends packets to detect active network devices, a technical approach method per Section 2.1.5.||Tailgating gains physical access, a social engineering tactic.||SQL injection exploits database vulnerabilities, not device detection.||Ransomware locks files, unrelated to network scanning.||Keylogging captures keystrokes, unrelated to device detection.<hr>Rationale: Tests recognition of ping sweep as a technical approach method in a scenario, complementing the port scan question with distractors from non-technical and unrelated technical methods.",Single-correct,,,Section::2.1.5 cybersecurity technical-approach attack-strategy multiple-choice
[Cybersecurity] Which attack strategy involves exploiting known weaknesses in software or systems?,[Cybersecurity] Which attack strategies involve exploiting known weaknesses in software or systems?,Exploit vulnerabilities,Social engineering||Reconnaissance||Backdoor creation||Privilege escalation,"Exploit vulnerabilities takes advantage of known weaknesses in software or systems to steal information, deny services, crash systems, or modify data, per Section 2.1.5.||Social engineering manipulates users.||Reconnaissance gathers information.||Backdoor creation enables alternative access.||Privilege escalation gains higher access rights, not directly exploiting software weaknesses.<hr>Rationale: Tests recognition of exploiting vulnerabilities as an attack strategy, using distractors from other attack strategies to reinforce differentiation.",Single-correct,,,Section::2.1.5 cybersecurity exploit-vulnerabilities attack-strategy multiple-choice
[Cybersecurity] Which defense methodology involves granting only necessary access for tasks?,[Cybersecurity] Which defense methodologies involve granting only necessary access for tasks?,Principle of least privilege,Defense in depth||Randomness||Simplicity||Variety,"The principle of least privilege grants users only the access needed for their tasks, per Section 2.1.5.||Defense in depth uses multiple security layers.||Randomness changes habits to avoid predictability.||Simplicity ensures easy-to-use measures.||Variety uses diverse methods, not focused on minimal access.<hr>Rationale: Tests recognition of the principle of least privilege in a scenario, using distractors from other defense methodologies to reinforce differentiation.",Single-correct,,,Section::2.1.5 cybersecurity least-privilege defense-methodology multiple-choice
[Cybersecurity] Which defense methodology involves constantly changing habits and passwords to prevent predictable behavior?,[Cybersecurity] Which defense methodologies involve constantly changing habits and passwords to prevent predictable behavior?,Randomness,Defense in depth||Principle of least privilege||Simplicity||Variety,"Randomness involves constantly changing habits and passwords to prevent predictable behavior, per Section 2.1.5.||Defense in depth uses multiple security layers.||Principle of least privilege grants minimal access.||Simplicity ensures easy-to-use measures.||Variety uses diverse methods, not focused on changing habits.<hr>Rationale: Tests recognition of randomness as a defense methodology, using distractors from other methodologies to reinforce differentiation.",Single-correct,,,Section::2.1.5 cybersecurity randomness defense-methodology multiple-choice
[Cybersecurity] Which defense methodology involves using protection that is easy to understand and use?,[Cybersecurity] Which defense methodologies involve using protection that is easy to understand and use?,Simplicity,Defense in depth||Principle of least privilege||Randomness||Variety,"Simplicity involves using protection that is easy to understand and use, per Section 2.1.5.||Defense in depth uses multiple security layers.||Principle of least privilege grants minimal access.||Randomness changes habits to avoid predictability.||Variety uses diverse methods, not focused on ease of use.<hr>Rationale: Tests recognition of simplicity as a defense methodology, using distractors from other methodologies to reinforce differentiation.",Single-correct,,,Section::2.1.5 cybersecurity simplicity defense-methodology multiple-choice
[Cybersecurity] Which defense methodology involves using diverse security methods to protect assets?,[Cybersecurity] Which defense methodologies involve using diverse security methods to protect assets?,Variety,Defense in depth||Principle of least privilege||Randomness||Simplicity,"Variety involves using diverse security methods to protect assets, per Section 2.1.5.||Defense in depth uses multiple security layers.||Principle of least privilege grants minimal access.||Randomness changes habits to avoid predictability.||Simplicity ensures easy-to-use measures, not focused on diversity of methods.<hr>Rationale: Tests recognition of variety as a defense methodology, using distractors from other methodologies to reinforce differentiation.",Single-correct,,,Section::2.1.5 cybersecurity variety defense-methodology multiple-choice
[Cybersecurity] Which defense methodology involves implementing multiple security layers to protect assets?,[Cybersecurity] Which defense methodologies involve implementing multiple security layers to protect assets?,Defense in depth,Principle of least privilege||Randomness||Simplicity||Variety,"Defense in depth involves implementing multiple security layers to protect assets, per Section 2.1.5.||Principle of least privilege grants minimal access.||Randomness changes habits to avoid predictability.||Simplicity ensures easy-to-use measures.||Variety uses diverse methods, not focused solely on multiple layers.<hr>Rationale: Tests recognition of defense in depth as a defense methodology, using distractors from other methodologies to reinforce differentiation.",Single-correct,,,Section::2.1.5 cybersecurity defense-in-depth defense-methodology multiple-choice
