Text,Extra,Tags
[Cybersecurity] Preventive controls aim to {{c1::eliminate or reduce::action or action}} the likelihood of a {{c2::successful attack::outcome}}.,"Core preventive function.<hr>Rationale: Tests recall of the key purpose and outcome of preventive controls in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2",Section::1.2 cybersecurity preventive-controls cloze enumerative
[Cybersecurity] The {{c1::Chief Information Officer (CIO)::role}} manages {{c2::IT assets::resource}}.,"Key organizational role.<hr>Rationale: Tests recall of the CIO’s title and primary responsibility in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2",Section::1.2 cybersecurity security-roles cloze enumerative
[Cybersecurity] The {{c1::Chief Technology Officer (CTO)::role}} focuses on effective use of {{c2::new computing platforms::resource}}.,"Key organizational role.<hr>Rationale: Tests recall of the CTO’s title and primary responsibility in a concise, atomic format<br>Metadata: Multiple-cloze<br>Source: Section::1.2",Section::1.2 cybersecurity security-roles cloze enumerative
"[Cybersecurity] A {{c1::security policy::document}} defines an organization's approach to protecting {{c2::confidentiality::property}}, {{c3::integrity::property}}, {{c4::availability::property}}, and {{c5::non-repudiation::property}}.","Core security properties.<hr>Rationale: Tests recall of the security policy and its four protected properties, emphasizing non-repudiation to contrast with the CIA triad.<br>Metadata: Multiple-cloze<br>Source: Section::1.2.2",Section::1.2.2 cybersecurity security-policy cloze enumerative
[Cybersecurity] Access control lists (ACLs) are used to manage {{c1::access permissions::function}} for {{c2::resources::target}}.,Core security mechanism.<hr>Rationale: Tests recall of the key function and target of access control lists in a concise format.<br>Metadata: Multiple-cloze<br>Source: Section::1.2.2,Section::1.2.2 cybersecurity access-control cloze enumerative
[Cybersecurity] The {{c1::Chief Technology Officer (CTO)::role}} focuses on {{c2::new computing platforms::resource}}.,Key organizational role.<hr>Rationale: Tests recall of the CTO’s title and primary focus in a concise format.<br>Metadata: Multiple-cloze<br>Source: Section::1.2.2,Section::1.2.2 cybersecurity security-roles cloze enumerative
[Cybersecurity] Detective controls aim to {{c1::identify and record::action and action}} an {{c2::intrusion attempt::event}}.,Core detective function.<hr>Rationale: Tests recall of the key purpose and event of detective controls in a concise format.<br>Metadata: Multiple-cloze<br>Source: Section::1.2.2,Section::1.2.2 cybersecurity detective-controls cloze enumerative
[Cybersecurity] Compensating controls serve as a {{c1::substitute::role}} for a {{c2::principal control::component}}.,Alternative security measures.<hr>Rationale: Tests recall of the key role and component of compensating controls in a concise format.<br>Metadata: Multiple-cloze<br>Source: Section::1.2.2,Section::1.2.2 cybersecurity security-controls cloze enumerative
[Cybersecurity] Directive controls enforce {{c1::rules of behavior::guideline}} through {{c2::policies::document}} or {{c3::procedures::method}}.,"Behavioral enforcement.<hr>Rationale: Tests recall of the key guideline, document, and method of directive controls, emphasizing the role of policies.<br>Metadata: Multiple-cloze<br>Source: Section::1.2.2",Section::1.2.2 cybersecurity security-controls cloze enumerative
[Cybersecurity] {{c1::Phishing::attack}} is a common type of cyberattack that deceives users to steal sensitive information.,"Core attack type.<hr>Rationale: Tests recall of phishing as a key cyberattack type, using a single cloze to focus on an atomic fact and avoid incomplete enumeration, aligning with the source text's emphasis on recognizing attack types.<br>Metadata: Single-cloze<br>Source: Section::2.0",Section::2.0 cybersecurity cyberattacks phishing cloze
[Cybersecurity] Social engineering uses {{c1::deception::tactic}} to {{c2::manipulate::action}} individuals into {{c3::revealing::action}} sensitive information.,"Core social engineering process.<hr>Rationale: Tests recall of deception, manipulation, and revealing as key components of social engineering, using multiple clozes with part-of-speech hints to reinforce interconnected concepts as a unified fact, reducing cognitive load.<br>Metadata: Multiple-cloze<br>Source: Section::2.0",Section::2.0 cybersecurity social-engineering cloze enumerative
[Cybersecurity] Malware is designed to compromise {{c1::data::asset}} and {{c2::systems::asset}}.,"Core malware purpose.<hr>Rationale: Tests recall of the specific assets (data and systems) that malware targets, using multiple clozes with part-of-speech hints to reinforce a unified concept, avoiding ambiguity and aligning with the source text's emphasis on malware's impact.<br>Metadata: Multiple-cloze<br>Source: Section::2.0",Section::2.0 cybersecurity malware cloze enumerative
[Cybersecurity] Assessing {{c1::vulnerabilities}} identifies exploitable weaknesses in systems or organizations.,"Core vulnerability assessment.<hr>Rationale: Tests recall of vulnerabilities as exploitable weaknesses targeted in assessments, using a single cloze to focus on an atomic fact, ensuring specificity and aligning with the source text's emphasis on evaluating vulnerabilities.<br>Metadata: Single-cloze<br>Source: Section::2.0",Section::2.0 cybersecurity vulnerabilities cloze
[Cybersecurity] Adopting a/n {{c1::attacker's}} mindset enhances informed security decision-making.,"Core security strategy.<hr>Rationale: Tests recall of the attacker's mindset as a specific strategy for improving security decisions, using a single cloze narrowed to ""attacker's"" for precision, aligning with the source text's emphasis on thinking like an attacker.<br>Metadata: Single-cloze<br>Source: Section::2.0",Section::2.0 cybersecurity attacker-mindset cloze
"[Cybersecurity] A supply chain includes {{c1::supplying::process}}, {{c2::manufacturing::process}}, {{c3::distributing::process}}, and {{c4::releasing::process}} goods and services to a customer.","End-to-end delivery process.<hr>Rationale: Tests recall of the key processes in a supply chain (supplying, manufacturing, distributing, releasing) as an enumerative list, using multiple clozes with part-of-speech hints to reinforce interconnected components, per the fixed list in Section 2.1. Multiple clozes are justified for the exhaustive list, per Statement 19.<br>Metadata: Multiple-cloze<br>Source: Section::2.1",Section::2.1 cybersecurity supply-chain cloze enumerative
"[Cybersecurity] An unsecure network exposes a large attack surface through {{c1::unnecessary open service ports::configuration}}, {{c1::weak or no authentication::configuration}}, default credentials, and lack of secure communications/encryption.","Network vulnerabilities.<hr>Rationale: Tests recall of the first two configurations (unnecessary open service ports, weak or no authentication) of the fixed four-item list defining an unsecure network, using overlapping clozes with `c1` tags to obscure both elements simultaneously, per the provided template and Statement 19 for ≤4 items. Part-of-speech hints ensure atomicity and clarity, per Statement 18.<br>Metadata: Multiple-cloze<br>Source: Section::2.1",Section::2.1 cybersecurity unsecure-network cloze enumerative instance-1
"[Cybersecurity] An unsecure network exposes a large attack surface through unnecessary open service ports, {{c1::weak or no authentication::configuration}}, {{c1::default credentials::configuration}}, and lack of secure communications/encryption.","Network vulnerabilities.<hr>Rationale: Tests recall of the middle two configurations (weak or no authentication, default credentials) of the fixed four-item list, using overlapping clozes with `c1` tags to obscure both elements simultaneously, per the provided template and Statement 19. Part-of-speech hints maintain specificity, per Statement 18.<br>Metadata: Multiple-cloze<br>Source: Section::2.1",Section::2.1 cybersecurity unsecure-network cloze enumerative instance-2
"[Cybersecurity] An unsecure network exposes a large attack surface through unnecessary open service ports, weak or no authentication, {{c1::default credentials::configuration}}, and {{c1::lack of secure communications/encryption::configuration}}.","Network vulnerabilities.<hr>Rationale: Tests recall of the last two configurations (default credentials, lack of secure communications/encryption) of the fixed four-item list, completing the overlapping sequence with `c1` tags to obscure both elements simultaneously, per the provided template and Statement 19. Part-of-speech hints ensure clarity, per Statement 18.<br>Metadata: Multiple-cloze<br>Source: Section::2.1",Section::2.1 cybersecurity unsecure-network cloze enumerative instance-3
"[Cybersecurity] A lure entices a victim to open a {{c1::removable device::medium}}, {{c1::document::medium}}, image, or program concealing malware.","Social engineering tactic.<hr>Rationale: Tests recall of the first two media types (removable device, document) of the fixed four-item list defining a lure, using overlapping clozes with `c1` tags to obscure both elements simultaneously, per the provided template and Statement 19 for ≤4 items. Part-of-speech hints ensure atomicity and clarity, per Statement 18.<br>Metadata: Multiple-cloze<br>Source: Section::2.2",Section::2.2 cybersecurity lure cloze enumerative instance-1
"[Cybersecurity] A lure entices a victim to open a removable device, {{c1::document::medium}}, {{c1::image::medium}}, or program concealing malware.","Social engineering tactic.<hr>Rationale: Tests recall of the middle two media types (document, image) of the fixed four-item list, using overlapping clozes with `c1` tags to obscure both elements simultaneously, per the provided template and Statement 19. Part-of-speech hints maintain specificity, per Statement 18.<br>Metadata: Multiple-cloze<br>Source: Section::2.2",Section::2.2 cybersecurity lure cloze enumerative instance-2
"[Cybersecurity] A lure entices a victim to open a removable device, document, {{c1::image::medium}}, or {{c1::program::medium}} concealing malware.","Social engineering tactic.<hr>Rationale: Tests recall of the last two media types (image, program) of the fixed four-item list, completing the overlapping sequence with `c1` tags to obscure both elements simultaneously, per the provided template and Statement 19. Part-of-speech hints ensure clarity, per Statement 18.<br>Metadata: Multiple-cloze<br>Source: Section::2.2",Section::2.2 cybersecurity lure cloze enumerative instance-3
[Cybersecurity] A/n {{c1::unsupported system::asset}} is in a product life cycle phase where {{c2::mainstream vendor support::resource}} is no longer available.,"System vulnerability.<hr>Rationale: Tests recall of the definition of an unsupported system (asset) and its key characteristic (lack of mainstream vendor support) as atomic facts, using different numbered cloze tags (`c1`, `c2`) to obscure each element separately, per Statement 18 for atomic clozes. The question reinforces the vulnerability concept from Section 2.2.<br>Metadata: Multiple-cloze<br>Source: Section::2.2",Section::2.2 cybersecurity unsupported-system cloze
[Cybersecurity] Social engineering uses {{c1::intimidation::tactic}} and {{c2::sympathy::tactic}} to manipulate others into providing sensitive information.,"Psychological manipulation tactics.<hr>Rationale: Tests recall of the two key social engineering tactics (intimidation and sympathy) as a fixed list from Section 2.1.5, using multiple clozes with part-of-speech hints to reinforce interconnected components. The enumerated tactics are exhaustive per the source text, ensuring clarity for learners.<br>Metadata: Multiple-cloze<br>Source: Section::2.1.5",Section::2.1.5 cybersecurity social-engineering attack-strategy cloze enumerative
"[Cybersecurity] A backdoor allows {{c1::alternative access::method}} to an application or operating system for {{c2::troubleshooting::purpose}}, often exploited by attackers.","Unauthorized system entry.<hr>Rationale: Tests recall of the definition and purpose of a backdoor as atomic facts, using two clozes with part-of-speech hints to clarify distinct components, per Addendum Statement 18. The question reinforces the attack strategy’s dual use (legitimate and malicious) from Section 2.1.5.<br>Metadata: Multiple-cloze<br>Source: Section::2.1.5",Section::2.1.5 cybersecurity backdoor attack-strategy cloze
"[Cybersecurity] Exploiting vulnerabilities can lead to {{c1::stealing information::action}}, {{c1::denying services::action}}, crashing systems, or modifying information.","Outcomes of vulnerability exploitation.<hr>Rationale: Tests recall of the first two outcomes (stealing information, denying services) of the fixed four-item list, using overlapping clozes with c1 tags to obscure both elements simultaneously, per Addendum Statement 19 for ≤4 items. Part-of-speech hints ensure atomicity and clarity, per Statement 18.<br>Metadata: Multiple-cloze<br>Source: Section::2.1.5",Section::2.1.5 cybersecurity exploit-vulnerabilities attack-strategy cloze enumerative instance-1
"[Cybersecurity] Exploiting vulnerabilities can lead to stealing information, {{c1::denying services::action}}, {{c1::crashing systems::action}}, or modifying information.","Outcomes of vulnerability exploitation.<hr>Rationale: Tests recall of the middle two outcomes (denying services, crashing systems) of the fixed four-item list, using overlapping clozes with c1 tags to obscure both elements simultaneously, per Addendum Statement 19. Part-of-speech hints maintain specificity, per Statement 18.<br>Metadata: Multiple-cloze<br>Source: Section::2.1.5",Section::2.1.5 cybersecurity exploit-vulnerabilities attack-strategy cloze enumerative instance-2
"[Cybersecurity] Exploiting vulnerabilities can lead to stealing information, denying services, {{c1::crashing systems::action}}, or {{c1::modifying information::action}}.","Outcomes of vulnerability exploitation.<hr>Rationale: Tests recall of the last two outcomes (crashing systems, modifying information) of the fixed four-item list, completing the overlapping sequence with c1 tags to obscure both elements simultaneously, per Addendum Statement 19. Part-of-speech hints ensure clarity, per Statement 18.<br>Metadata: Multiple-cloze<br>Source: Section::2.1.5",Section::2.1.5 cybersecurity exploit-vulnerabilities attack-strategy cloze enumerative instance-3
