Front,Back,Tags
"[Cybersecurity] A security professional installs locks on server room doors. This is an example of what implementation category of security control?","Physical<hr>Metadata: Scenario question<br>Rationale: Tests application of implementation categories in a practical scenario<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity security-controls open-ended"
"[Cybersecurity] A security professional establishes policies for employee conduct. This is an example of what implementation category of security control?","Managerial<hr>Metadata: Scenario question<br>Rationale: Tests application of implementation categories in a practical scenario<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity security-controls open-ended"
"[Cybersecurity] Why might an organization replace a mandated security control?","It is not possible to implement.<hr>Metadata: Concept question<br>Rationale: Tests recall of the reason for replacing mandated security controls<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity security-controls open-ended"
"[Cybersecurity] What size of organization typically employs a Security Operations Center (SOC)?","Large organizations.<hr>Metadata: Concept question<br>Rationale: Tests recall of the organizational size that typically uses an SOC<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity soc open-ended"
"[Cybersecurity] What does DevOps aim to improve through collaboration between developers and systems administrators?","Software delivery speed and reliability.<hr>Metadata: Concept question<br>Rationale: Tests recall of the primary goal of DevOps collaboration<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity devops open-ended"
"[Cybersecurity] What does DevSecOps recognize about security in software development?","It is a primary consideration at every stage.<hr>Metadata: Concept question<br>Rationale: Tests recall of the core principle of DevSecOps in software development<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity devsecops open-ended"
"[Cybersecurity] What approach can security operations adopt to improve detection and monitoring?","Automate tools through code.<hr>Metadata: Concept question<br>Rationale: Tests recall of the approach to enhance security operations detection<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity security-roles open-ended"
"[Cybersecurity] What can security operations be conceived of as to improve their processes?","Software development projects.<hr>Metadata: Concept question<br>Rationale: Tests recall of the conceptual approach to improving security operations<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity security-roles open-ended"
"[Cybersecurity] What level of technical knowledge is needed to launch an attack with widely available tools?","Moderate, not as high as one might expect.<hr>Metadata: Concept question<br>Rationale: Tests recall of the technical expertise required to use attack tools, emphasizing accessibility<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity attack-software open-ended"
"[Cybersecurity] What are examples of large organizations that typically employ SOCs?","Government agencies and healthcare companies.<hr>Metadata: Concept question<br>Rationale: Tests recall of specific examples of organizations using SOCs<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity soc open-ended"
"[Cybersecurity] Why are modern attacks not limited to user interactions?","They spread automatically on the internet.<hr>Metadata: Concept question<br>Rationale: Tests recall of why modern attacks do not rely on user interactions<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity attack-scale open-ended"
"[Cybersecurity] A security professional uses cameras to monitor a data center. This is an example of what implementation category of security control?","Physical<hr>Metadata: Scenario question<br>Rationale: Tests application of implementation categories in a practical scenario<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity security-controls open-ended"
"[Cybersecurity] Can a Computer Incident Response Team (CIRT) be established as an independent business unit?","Yes.<hr>Metadata: Concept question<br>Rationale: Tests recall of the organizational flexibility for CIRT structure<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity cirt open-ended"
"[Cybersecurity] What is a key challenge in detecting sophisticated attacks due to their variable behavior?","They appear different each time.<hr>Metadata: Concept question<br>Rationale: Tests recall of the challenge in detecting sophisticated attacks due to variability<br>Reference: Section::1.1.3","Section::1.1.3 cybersecurity sophisticated-attacks open-ended"
