Question,Options,OptionsWithCorrect,CorrectOptions,Tags
"[Cybersecurity] <span style=""display:none;"">QID:MC-018</span> Which is a common threat actor?","<li>A. Security operations center</li><li>B. Organized crime</li><li>C. Penetration testing team</li><li>D. Risk assessment group</li>","<li>A. Security operations center</li><li class=""correct"">B. Organized crime</li><li>C. Penetration testing team</li><li>D. Risk assessment group</li>","B<hr>Why correct: Organized crime involves structured groups conducting cyberattacks for financial gain, such as ransomware or data theft.<br>Why incorrect: A, C, D are legitimate cybersecurity groups, not threat actors.<br>Rationale: Tests threat actor recall<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity threat-actors multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-019</span> Which is a common threat actor?","<li>A. Cybersecurity training unit</li><li>B. Encryption development team</li><li>C. Nation-state</li><li>D. Vulnerability assessment group</li>","<li>A. Cybersecurity training unit</li><li>B. Encryption development team</li><li class=""correct"">C. Nation-state</li><li>D. Vulnerability assessment group</li>","C<hr>Why correct: Nation-state actors are state-sponsored groups targeting critical systems for political or strategic purposes, often using advanced techniques.<br>Why incorrect: A, B, D are legitimate cybersecurity groups, not threat actors.<br>Rationale: Tests threat actor recall<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity threat-actors multiple-choice instance-3"
"[Cybersecurity] <span style=""display:none;"">QID:MC-020</span> Which is a common threat actor?","<li>A. Security audit firm</li><li>B. Incident management team</li><li>C. Firewall maintenance group</li><li>D. Organized crime</li>","<li>A. Security audit firm</li><li>B. Incident management team</li><li>C. Firewall maintenance group</li><li class=""correct"">D. Organized crime</li>","D<hr>Why correct: Organized crime consists of coordinated groups executing cyberattacks, often for profit through activities like fraud or extortion.<br>Why incorrect: A, B, C are legitimate cybersecurity groups, not threat actors.<br>Rationale: Tests threat actor recall<br>Metadata: Single-correct<br>Source: Section::2.1","Section::2.1 cybersecurity threat-actors multiple-choice instance-4"
"[Cybersecurity] <span style=""display:none;"">QID:MC-021</span> What is the role of a Computer Incident Response Team (CIRT)?","<li>A. Software development</li><li>B. Incident response</li><li>C. Network maintenance</li><li>D. Employee hiring</li>","<li>A. Software development</li><li class=""correct"">B. Incident response</li><li>C. Network maintenance</li><li>D. Employee hiring</li>","B<hr>Why correct: A CIRT manages and mitigates cybersecurity incidents, coordinating responses to breaches or attacks across multiple domains.<br>Why incorrect: A is DevOps; C is IT; D is HR<br>Rationale: Tests CIRT role<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity cirt multiple-choice instance-1"
"[Cybersecurity] <span style=""display:none;"">QID:MC-022</span> What is the role of a Computer Incident Response Team (CIRT)?","<li>A. Incident response</li><li>B. Software testing</li><li>C. Hardware upgrades</li><li>D. User training</li>","<li class=""correct"">A. Incident response</li><li>B. Software testing</li><li>C. Hardware upgrades</li><li>D. User training</li>","A<hr>Why correct: A CIRT is responsible for detecting, analyzing, and resolving security incidents to minimize organizational impact.<br>Why incorrect: B is QA; C is IT; D is HR<br>Rationale: Tests CIRT role<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity cirt multiple-choice instance-2"
"[Cybersecurity] <span style=""display:none;"">QID:MC-023</span> What is the role of a Computer Incident Response Team (CIRT)?","<li>A. Manage payroll</li><li>B. Develop applications</li><li>C. Handle incident response</li><li>D. Conduct market research</li>","<li>A. Manage payroll</li><li>B. Develop applications</li><li class=""correct"">C. Handle incident response</li><li>D. Conduct market research</li>","C<hr>Why correct: A CIRT coordinates responses to cyber incidents, ensuring rapid recovery and mitigation of threats.<br>Why incorrect: A is finance; B is development; D is marketing<br>Rationale: Tests CIRT role<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity cirt multiple-choice instance-3"
"[Cybersecurity] <span style=""display:none;"">QID:MC-024</span> What is the role of a Computer Incident Response Team (CIRT)?","<li>A. Vendor management</li><li>B. Quality assurance</li><li>C. Data analytics</li><li>D. Incident response</li>","<li>A. Vendor management</li><li>B. Quality assurance</li><li>C. Data analytics</li><li class=""correct"">D. Incident response</li>","D<hr>Why correct: A CIRT oversees the response to security incidents, leveraging expertise to protect organizational assets and data.<br>Why incorrect: A is procurement; B is QA; C is data science<br>Rationale: Tests CIRT role<br>Metadata: Single-correct<br>Source: Section::1.1","Section::1.1 cybersecurity cirt multiple-choice instance-4"
"[Cybersecurity] <span style=""display:none;"">QID:MC-025</span> Which are common threat actors? (CHOOSE TWO)","<li>A. Nation-state</li><li>B. Security operations center</li><li>C. Organized crime</li><li>D. Penetration testing team</li><li>E. Compliance audit group</li>","<li class=""correct"">A. Nation-state</li><li>B. Security operations center</li><li class=""correct"">C. Organized crime</li><li>D. Penetration testing team</li><li>E. Compliance audit group</li>","A,C<hr>Why correct: Nation-state actors are government-backed groups targeting strategic objectives like espionage; Organized crime conducts cyberattacks for financial gain, such as ransomware.<br>Why incorrect: B, D, E are legitimate cybersecurity groups, not threat actors.<br>Rationale: Tests threat actor recognition<br>Metadata: Multiple-correct<br>Source: Section::2.1","Section::2.1 cybersecurity threat-actors multiple-choice instance-5 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-026</span> Which are common threat actors? (CHOOSE TWO)","<li>A. Vulnerability assessment team</li><li>B. Organized crime</li><li>C. Incident response unit</li><li>D. Nation-state</li><li>E. Security vendor group</li>","<li>A. Vulnerability assessment team</li><li class=""correct"">B. Organized crime</li><li>C. Incident response unit</li><li class=""correct"">D. Nation-state</li><li>E. Security vendor group</li>","B,D<hr>Why correct: Organized crime engages in profit-driven cyberattacks like fraud; Nation-state actors pursue strategic goals through state-sponsored cyberattacks.<br>Why incorrect: A, C, E are legitimate cybersecurity groups, not threat actors.<br>Rationale: Tests threat actor recognition<br>Metadata: Multiple-correct<br>Source: Section::2.1","Section::2.1 cybersecurity threat-actors multiple-choice instance-6 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-027</span> Which are security control categories? (CHOOSE THREE)","<li>A. Technical safeguard measures</li><li>B. Threat-hunting response team</li><li>C. Operational policy and procedure sets</li><li>D. Vendor-provided tool consortium</li><li>E. Regulatory compliance board</li><li>F. Physical access restriction mechanisms</li><li>G. Risk assessment committee</li>","<li class=""correct"">A. Technical safeguard measures</li><li>B. Threat-hunting response team</li><li class=""correct"">C. Operational policy and procedure sets</li><li>D. Vendor-provided tool consortium</li><li>E. Regulatory compliance board</li><li class=""correct"">F. Physical access restriction mechanisms</li><li>G. Risk assessment committee</li>","A,C,F<hr>Why correct: Technical safeguard measures use technology like firewalls to protect systems; Operational policy and procedure sets involve processes like training; Physical access restriction mechanisms use measures like locks to secure assets.<br>Why incorrect: Threat-hunting response team, Vendor-provided tool consortium, Regulatory compliance board, and Risk assessment committee are not control categories; they relate to teams or processes.<br>Rationale: Tests control category recall<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity controls multiple-choice instance-5 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-028</span> Which are security control categories? (CHOOSE THREE)","<li>A. Penetration testing crew</li><li>B. Operational policy and procedure sets</li><li>C. Network defense operations hub</li><li>D. Physical access restriction systems</li><li>E. User education delivery pipeline</li><li>F. Managerial governance framework</li><li>G. Cryptographic protocol design lab</li>","<li>A. Penetration testing crew</li><li class=""correct"">B. Operational policy and procedure sets</li><li>C. Network defense operations hub</li><li class=""correct"">D. Physical access restriction systems</li><li>E. User education delivery pipeline</li><li class=""correct"">F. Managerial governance framework</li><li>G. Cryptographic protocol design lab</li>","B,D,F<hr>Why correct: Operational policy and procedure sets involve procedures like training; Physical access restriction systems use measures like access badges; Managerial governance framework involves policies like risk assessments.<br>Why incorrect: Penetration testing crew, Network defense operations hub, User education delivery pipeline, and Cryptographic protocol design lab are not control categories; they relate to teams or technologies.<br>Rationale: Tests control category recall<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity controls multiple-choice instance-6 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-029</span> Which disciplines does DevSecOps integrate? (CHOOSE TWO)","<li>A. Software development</li><li>B. Security vendor group</li><li>C. Security operations</li><li>D. Compliance audit team</li><li>E. Incident response team</li>","<li class=""correct"">A. Software development</li><li>B. Security vendor group</li><li class=""correct"">C. Security operations</li><li>D. Compliance audit team</li><li>E. Incident response team</li>","A,C<hr>Why correct: DevSecOps integrates software development (building applications) and security operations (ensuring secure practices) as key components of a secure development lifecycle.<br>Why incorrect: B, D, E are cybersecurity groups, not DevSecOps disciplines.<br>Rationale: Tests DevSecOps components<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity devsecops multiple-choice instance-5 multiple-correct"
"[Cybersecurity] <span style=""display:none;"">QID:MC-030</span> Which disciplines does DevSecOps integrate? (CHOOSE TWO)","<li>A. Penetration testing team</li><li>B. Security operations</li><li>C. Risk assessment group</li><li>D. Systems operations</li><li>E. Cybersecurity training unit</li>","<li>A. Penetration testing team</li><li class=""correct"">B. Security operations</li><li>C. Risk assessment group</li><li class=""correct"">D. Systems operations</li><li>E. Cybersecurity training unit</li>","B,D<hr>Why correct: DevSecOps integrates security operations (implementing cybersecurity measures) and systems operations (managing infrastructure) to enhance secure system delivery.<br>Why incorrect: A, C, E are cybersecurity groups, not DevSecOps disciplines.<br>Rationale: Tests DevSecOps components<br>Metadata: Multiple-correct<br>Source: Section::1.1","Section::1.1 cybersecurity devsecops multiple-choice instance-6 multiple-correct"
